date,AAPL,MSFT,NVDA,AMZN,TSLA,GOOGL,META,JPM,SPY
2025-09-03,238.47000122070312,505.3500061035156,170.6199951171875,225.99000549316406,334.0899963378906,230.66000366210938,737.0499877929688,299.510009765625,643.739990234375
2025-09-04,239.77999877929688,507.9700012207031,171.66000366210938,235.67999267578125,338.5299987792969,232.3000030517578,748.6500244140625,303.82000732421875,649.1199951171875
2025-09-05,239.69000244140625,495.0,167.02000427246094,232.3300018310547,350.8399963378906,235.0,752.4500122070312,294.3800048828125,647.239990234375
2025-09-08,237.8800048828125,498.20001220703125,168.30999755859375,235.83999633789062,346.3999938964844,234.0399932861328,752.2999877929688,292.9100036621094,648.8300170898438
2025-09-09,234.35000610351562,498.4100036621094,170.75999450683594,238.24000549316406,346.9700012207031,239.6300048828125,765.7000122070312,297.8500061035156,650.3300170898438
2025-09-10,226.7899932861328,500.3699951171875,177.3300018310547,230.3300018310547,347.7900085449219,239.1699981689453,751.97998046875,300.5400085449219,652.2100219726562
2025-09-11,230.02999877929688,501.010009765625,177.1699981689453,229.9499969482422,368.80999755859375,240.3699951171875,750.9000244140625,305.55999755859375,657.6300048828125
2025-09-12,234.07000732421875,509.8999938964844,177.82000732421875,228.14999389648438,395.94000244140625,240.8000030517578,755.5900268554688,306.9100036621094,657.4099731445312
2025-09-15,236.6999969482422,515.3599853515625,177.75,231.42999267578125,410.0400085449219,251.61000061035156,764.7000122070312,308.8999938964844,660.9099731445312
2025-09-16,238.14999389648438,509.0400085449219,174.8800048828125,234.0500030517578,421.6199951171875,251.16000366210938,779.0,309.19000244140625,660.0
2025-09-17,238.99000549316406,510.0199890136719,170.2899932861328,231.6199951171875,425.8599853515625,249.52999877929688,775.719970703125,311.75,659.1799926757812
2025-09-18,237.8800048828125,508.45001220703125,176.24000549316406,231.22999572753906,416.8500061035156,252.02999877929688,780.25,313.2300109863281,662.260009765625
2025-09-19,245.5,517.9299926757812,176.6699981689453,231.47999572753906,426.07000732421875,254.72000122070312,778.3800048828125,314.7799987792969,663.7000122070312
2025-09-22,256.0799865722656,514.4500122070312,183.61000061035156,227.6300048828125,434.2099914550781,252.52999877929688,765.1599731445312,312.44000244140625,666.8400268554688
2025-09-23,254.42999267578125,509.2300109863281,178.42999267578125,220.7100067138672,425.8500061035156,251.66000366210938,755.4000244140625,312.739990234375,663.2100219726562
2025-09-24,252.30999755859375,510.1499938964844,176.97000122070312,220.2100067138672,442.7900085449219,247.13999938964844,760.6599731445312,313.4200134277344,661.0999755859375
2025-09-25,256.8699951171875,507.0299987792969,177.69000244140625,218.14999389648438,423.3900146484375,245.7899932861328,748.9099731445312,313.45001220703125,658.0499877929688
2025-09-26,255.4600067138672,511.4599914550781,178.19000244140625,219.77999877929688,440.3999938964844,246.5399932861328,743.75,316.05999755859375,661.8200073242188
2025-09-29,254.42999267578125,514.5999755859375,181.85000610351562,222.1699981689453,443.2099914550781,244.0500030517578,743.4000244140625,315.69000244140625,663.6799926757812
2025-09-30,254.6300048828125,517.9500122070312,186.5800018310547,219.57000732421875,444.7200012207031,243.10000610351562,734.3800048828125,315.42999267578125,666.1799926757812
2025-10-01,255.4499969482422,519.7100219726562,187.24000549316406,220.6300048828125,459.4599914550781,244.89999389648438,717.3400268554688,310.7099914550781,668.4500122070312
2025-10-02,257.1300048828125,515.739990234375,188.88999938964844,222.41000366210938,436.0,245.69000244140625,727.0499877929688,307.54998779296875,669.219970703125
2025-10-03,258.0199890136719,517.3499755859375,187.6199951171875,219.50999450683594,429.8299865722656,245.35000610351562,710.5599975585938,310.0299987792969,669.2100219726562
2025-10-06,256.69000244140625,528.5700073242188,185.5399932861328,220.89999389648438,453.25,250.42999267578125,715.6599731445312,309.17999267578125,671.6099853515625
2025-10-07,256.4800109863281,523.97998046875,185.0399932861328,221.77999877929688,433.0899963378906,245.75999450683594,713.0800170898438,307.69000244140625,669.1199951171875
2025-10-08,258.05999755859375,524.8499755859375,189.11000061035156,225.22000122070312,438.69000244140625,244.6199951171875,717.8400268554688,304.0299987792969,673.1099853515625
2025-10-09,254.0399932861328,522.4000244140625,192.57000732421875,227.74000549316406,435.5400085449219,241.52999877929688,733.510009765625,305.5299987792969,671.1599731445312
2025-10-10,245.27000427246094,510.9599914550781,183.16000366210938,216.3699951171875,413.489990234375,236.57000732421875,705.2999877929688,300.8900146484375,653.02001953125
2025-10-13,247.66000366210938,514.0499877929688,188.32000732421875,220.07000732421875,435.8999938964844,244.14999389648438,715.7000122070312,307.9700012207031,663.0399780273438
2025-10-14,247.77000427246094,513.5700073242188,180.02999877929688,216.38999938964844,429.239990234375,245.4499969482422,708.6500244140625,302.0799865722656,662.22998046875
2025-10-15,249.33999633789062,513.4299926757812,179.8300018310547,215.57000732421875,435.1499938964844,251.02999877929688,717.5499877929688,305.69000244140625,665.1699829101562
2025-10-16,247.4499969482422,511.6099853515625,181.80999755859375,214.47000122070312,428.75,251.4600067138672,712.0700073242188,298.5400085449219,660.6400146484375
2025-10-17,252.2899932861328,513.5800170898438,183.22000122070312,213.0399932861328,439.30999755859375,253.3000030517578,716.9199829101562,297.55999755859375,664.3900146484375
2025-10-20,262.239990234375,516.7899780273438,182.63999938964844,216.47999572753906,447.42999267578125,256.54998779296875,732.1699829101562,302.3599853515625,671.2999877929688
2025-10-21,262.7699890136719,517.6599731445312,181.16000366210938,222.02999877929688,442.6000061035156,250.4600067138672,733.27001953125,297.0899963378906,671.2899780273438
2025-10-22,258.45001220703125,520.5399780273438,180.27999877929688,217.9499969482422,438.9700012207031,251.69000244140625,733.4099731445312,294.1099853515625,667.7999877929688
2025-10-23,259.5799865722656,520.5599975585938,182.16000366210938,221.08999633789062,448.9800109863281,253.0800018310547,734.0,294.5400085449219,671.760009765625
2025-10-24,262.82000732421875,523.6099853515625,186.25999450683594,224.2100067138672,433.7200012207031,259.9200134277344,738.3599853515625,300.44000244140625,677.25
2025-10-27,268.80999755859375,531.52001953125,191.49000549316406,226.97000122070312,452.4200134277344,269.2699890136719,750.8200073242188,304.1499938964844,685.239990234375
2025-10-28,269.0,542.0700073242188,201.02999877929688,229.25,460.54998779296875,267.4700012207031,751.4400024414062,305.3599853515625,687.0599975585938
