date,AAPL,MSFT,NVDA,AMZN,TSLA,GOOGL,META,JPM
2025-12-19,0.17761118183475766,0.19674583818280308,0.37557104332691804,0.3340565252391573,0.4849253130578934,0.3052259857707002,0.3531999621706039,0.22774208231994836
2025-12-22,0.17853462058247915,0.195781617589413,0.37671573665260705,0.3338688148385827,0.4795306905079823,0.30537914317124026,0.35328762608261716,0.2301940457825396
2025-12-23,0.17842056817810809,0.19550244091899052,0.37927180546165296,0.3347331244643454,0.4797256921822332,0.3047662501528831,0.35357916830686853,0.23080833951369173
2025-12-24,0.17862352304849896,0.19501926339208683,0.37573618831563155,0.33371732031690704,0.479724167160347,0.30448153831777386,0.3531073605272336,0.23158289546934352
2025-12-26,0.17865877431120306,0.19480708413793066,0.3762303942847515,0.3336202743401065,0.4774819892517361,0.30466638998906403,0.3503098321218971,0.229445726689991
2025-12-29,0.17830177545271708,0.19432051084069094,0.376665318575951,0.33333193545247064,0.46996526951607354,0.3047694052161536,0.3491339269248591,0.23003115584293946
2025-12-30,0.17837448745475395,0.19417045785217435,0.3764826852683229,0.3320895932742539,0.4696091631051269,0.30462973437454555,0.34720953410926003,0.22957261624789893
2025-12-31,0.17827901586082784,0.18893213325813185,0.37595023566218544,0.3323326524159011,0.45737323036596833,0.30300496825235285,0.34713663032661496,0.2296436264347883
2026-01-02,0.1784403442171323,0.19317083218046785,0.37676187577981024,0.3346758111837798,0.45087234468539106,0.29939392543191384,0.34819966448594813,0.23014325977527317
2026-01-05,0.1806596817160188,0.1930703064424612,0.374191626979772,0.338269023394437,0.45444692272631326,0.29883245426180444,0.34904410207226416,0.23415121467648814
2026-01-06,0.1818268540351984,0.19497194669193307,0.37236418535782684,0.3441884162581488,0.462604538664056,0.297666707533507,0.34585787586711825,0.23404726743968257
2026-01-07,0.16693738971765748,0.19158465474986927,0.3582452384312425,0.32657918871716557,0.4498929890434315,0.29564814335724215,0.33874520766635685,0.23693935212163275
2026-01-08,0.16637593328334419,0.19215624007611978,0.3565325167126919,0.3270986517017184,0.4371172486277709,0.29074282652050604,0.3371290223582324,0.23302241811652966
2026-01-09,0.1663781231511,0.19230147791181287,0.3441439109956402,0.32479062312594575,0.437989032373632,0.2909065276413334,0.3376453234256492,0.22919134257361595
2026-01-12,0.16606848148812517,0.19240627497568316,0.34412870216824565,0.3247818836918682,0.4374842113319571,0.2887920711847184,0.33791303105099174,0.23039397944578283
