ticker,model,regime,n,MAE_price,RMSE_price,MAE_return,RMSE_return,Directional_Accuracy
XLE,Lasso,all,2620,0.35364782432372727,0.5017435319982939,0.012601050246630552,0.01877216464167903,0.5095858895705522
XLE,Lasso,high,602,0.329467413688108,0.4625208232001167,0.015830718135908344,0.025758143206362816,0.4716666666666667
XLE,Lasso,low,697,0.36823759944485485,0.513350870637541,0.00944535312071146,0.012396574383276038,0.5064748201438849
XLE,AR1,all,2624,0.35532558780320866,0.5051143019087944,0.012683294210478056,0.01898647157249759,0.5088055130168453
XLE,AR1,high,604,0.3334073685422024,0.4752001996770629,0.016018385072485306,0.026256431327067585,0.4750830564784053
XLE,AR1,low,697,0.36843559522707564,0.5148584727880897,0.009450636202599854,0.012422074657414814,0.49640287769784175
XLF,RandomWalk,all,2620,0.2724779846104047,0.3999579783262801,0.009205098766690444,0.013947877729416306,0.48861443458124276
XLF,RandomWalk,high,602,0.2777791514349142,0.43439173953931026,0.012010461406670609,0.019922832066521075,0.4688026981450253
XLF,RandomWalk,low,697,0.2733758600746713,0.38430487617971654,0.006977421000162045,0.009261042310954714,0.5145772594752187
XLF,LinearRegression,all,2620,0.2789207941563078,0.4111972888984995,0.009428617957032578,0.014383213212706194,0.495175607873408
XLF,LinearRegression,high,602,0.29223388402707656,0.4638573534984211,0.01251012848370052,0.02086358732508857,0.5008431703204047
XLF,LinearRegression,low,697,0.27805439642717306,0.38958124732884464,0.007135164336034605,0.009424756044355713,0.4912536443148688
XLF,Ridge,all,2620,0.2720382043099181,0.40026281578804146,0.00919262218821325,0.013941735312014404,0.5233500578927055
XLF,Ridge,high,602,0.2775661097748736,0.4338466854241795,0.011998802965328056,0.019882681254794823,0.5160202360876898
XLF,Ridge,low,697,0.2745215201947874,0.3859214421587163,0.0070153422131151,0.009298065809104727,0.5131195335276968
XLF,Lasso,all,2620,0.2722186934410828,0.40061582533335327,0.009202678779690292,0.013973752395493937,0.5171748359706677
XLF,Lasso,high,602,0.27809465204618766,0.4348043626311008,0.012035770664751495,0.0199669581468018,0.4924114671163575
XLF,Lasso,low,697,0.27450896068630454,0.3859492391992528,0.007014037836545689,0.00929682436590006,0.5145772594752187
XLF,AR1,all,2624,0.2727811412263488,0.4021432301981419,0.00921598102283287,0.01398284547518473,0.5159922928709055
XLF,AR1,high,604,0.2777167517960942,0.4379982233348924,0.011973491689861194,0.019864994817388255,0.5025210084033613
XLF,AR1,low,697,0.2749105195239899,0.3854584809046787,0.007026838003400265,0.009297070025141324,0.5014577259475219
SPY,RandomWalk,all,2620,2.67076205770478,4.147925713045625,0.007295363893264397,0.011277172284292973,0.49196633511859217
SPY,RandomWalk,high,602,2.5270614877491693,4.190303759650204,0.009170295725987897,0.01536490125963465,0.4716666666666667
SPY,RandomWalk,low,697,2.7507138135956555,4.102064579572624,0.005362767168893381,0.007352228328252781,0.4956896551724138
SPY,LinearRegression,all,2620,2.7278036722259227,4.285398621767494,0.007448999169558902,0.011622202459944102,0.5095638867635807
SPY,LinearRegression,high,602,2.6300424128685274,4.521167814992883,0.00946368729578972,0.016055195978235962,0.49166666666666664
SPY,LinearRegression,low,697,2.795891661671667,4.18487764737256,0.005436229297740377,0.0074707579214697084,0.5287356321839081
SPY,Ridge,all,2620,2.652735287936681,4.14530593136354,0.007252758224827163,0.011268537750562998,0.5497322111706198
SPY,Ridge,high,602,2.514622199273342,4.180590240771992,0.0091333762732998,0.015340286037292476,0.5316666666666666
SPY,Ridge,low,697,2.7348221632758296,4.113811049769487,0.005328518171773356,0.007372183084086941,0.5488505747126436
SPY,Lasso,all,2620,2.6537581597629862,4.147471921751674,0.007257408390291187,0.011285206518785411,0.5512624330527927
SPY,Lasso,high,602,2.519636262470383,4.189178325765419,0.009154507677314324,0.015389904544065587,0.5316666666666666
SPY,Lasso,low,697,2.734795232647452,4.114047112435088,0.005328423010078296,0.007372713990906059,0.5488505747126436
SPY,AR1,all,2624,2.6585455033296777,4.158682853925423,0.007262053013269624,0.011246736861009427,0.5286478227654698
SPY,AR1,high,604,2.4809155865216077,4.142707494570938,0.009030405286378952,0.015101284043391889,0.5166112956810631
SPY,AR1,low,697,2.759515425765886,4.1348530847456315,0.005372456428386374,0.007402224399332534,0.5301724137931034
