Date,XLK-XLV,XLK-XLE,XLK-XLF,XLV-XLE,XLV-XLF,XLE-XLF
2015-06-11,0.757597427363357,0.4161688216225744,0.7731035413008965,0.3362373745521309,0.7039828585009731,0.44276127616511146
2015-06-12,0.7606787283649152,0.4063905372223732,0.7704928525398175,0.34196062772348396,0.707937221356805,0.4115189457383037
2015-06-15,0.7712892270282414,0.41613905901190706,0.7735725317040437,0.32250846705933145,0.7086596620493222,0.4106877995219082
2015-06-16,0.7699848177193652,0.4102918816885463,0.7716373160631583,0.3042653706284051,0.7029416247144498,0.4017403768515233
2015-06-17,0.7711787239444117,0.41087102978923096,0.7816345245437235,0.3073114721397653,0.7261735658899502,0.4038121797184282
2015-06-18,0.780171091490105,0.4087461726500653,0.7850818982772201,0.3088589027640695,0.7302213954401854,0.4026445748854374
2015-06-19,0.7696809226908883,0.4220213980141952,0.7817475849140665,0.31628799414753817,0.7109177533940034,0.4145317975874159
2015-06-22,0.7723877236927331,0.4340643247219857,0.7826810129194589,0.32488969960132075,0.7112276826164996,0.4300762436621579
2015-06-23,0.7782003796544756,0.4203470669867589,0.7783024901137613,0.32381635606133036,0.7134081436521199,0.41978818543710245
2015-06-24,0.7775486483218057,0.4168252353241524,0.7824576447710192,0.32869868582365264,0.7195157532438543,0.43902418615098965
2015-06-25,0.7760566411564667,0.4177731083033544,0.7823110739634497,0.3178866173471068,0.7097459447233931,0.44313771290743836
2015-06-26,0.7742865605308208,0.4148409933883124,0.7767498654462613,0.31919648875682954,0.7108775375510994,0.4382143388286247
2015-06-29,0.7921158023324535,0.4475835203394932,0.7989002992133595,0.36042527220926157,0.7420087822548971,0.4696516912629959
2015-06-30,0.7915721805443204,0.45179575659994414,0.7976841134083749,0.3707144581653262,0.7396270370403486,0.47843969092048877
2015-07-01,0.7936909967242844,0.43565799574524355,0.797427058130663,0.3507107562559155,0.7473409946204609,0.43946118829975434
2015-07-02,0.7922831261964174,0.43522458263286157,0.7941681600237657,0.347105721548206,0.7511165961819167,0.433519437349332
2015-07-06,0.7932833038517254,0.4441920833873509,0.7967049832646194,0.34687490447433633,0.7505483417759398,0.43734481207598874
2015-07-07,0.7937492434499925,0.46944537049064955,0.8026031981527357,0.36221404739881957,0.7522363427375365,0.4393103274227025
2015-07-08,0.8019526070407362,0.4902204706558246,0.8105831620303297,0.3889601961611184,0.7633050436342692,0.4643932502881786
2015-07-09,0.7951138393039093,0.49681410475376564,0.8000796578008573,0.4011360226204227,0.761955119043333,0.4764924878935646
2015-07-10,0.7995062033803438,0.5041115325692842,0.8048817458639232,0.4136463074639888,0.7686026935380352,0.4822893900463598
2015-07-13,0.8039178399716781,0.5088369406463809,0.8094065474630511,0.4190496027126309,0.7782732287205704,0.48817348243985104
2015-07-14,0.8042210070531655,0.510535262135285,0.8109641860547615,0.4270087438447444,0.7757070918579706,0.4925388290291476
2015-07-15,0.8010817289934778,0.4883407775600941,0.8056023435074505,0.392547042427652,0.7759738117847826,0.45675646191133684
2015-07-16,0.7975724018056776,0.49140710199893,0.8079495755534651,0.3994092135951995,0.7747378488482162,0.4609919718774709
